Stock	Age	1	2	3	4	5	6
AKS	2	0	0	0	1	0	2
AKS	3	285	1290	1085	870	734	366
AKS	4	1655	1873	1902	1318	808	377
AKS	5	705	512	169	91	73	3
NTH	2	0	3	29	7	65	34
NTH	3	73	58	122	39	36	112
NTH	4	84	61	59	4	40	0
NTH	5	35	1	132	0	4	0
FRE	2	0	0	0	0	0	0
FRE	3	0	0	0	0	0	8
FRE	4	20	2	31	0	100	0
FRE	5	4	0	6	0	11	11
FRL	2	0	0	0	0	0	0
FRL	3	0	1	0	0	0	0
FRL	4	0	2	0	2	6	4
FRL	5	0	0	0	0	0	0
RBH	2	0	0	0	0	0	0
RBH	3	40	32	311	44	281	550
RBH	4	692	106	1189	138	528	585
RBH	5	111	13	205	24	160	81
RBT	2	0	0	0	0	0	0
RBT	3	40	32	311	44	281	550
RBT	4	692	106	1189	138	528	585
RBT	5	111	13	205	24	160	81
GSQ	2	0	0	0	0	0	0
GSQ	3	0	0	0	0	0	12
GSQ	4	59	40	24	64	31	15
GSQ	5	44	32	13	21	39	3
GST	2	0	0	0	0	0	0
GST	3	4	3	6	0	0	8
GST	4	11	17	9	8	9	4
GST	5	0	2	2	0	0	0
GSH	2	0	0	0	0	0	0
GSH	3	4	3	6	0	0	8
GSH	4	11	17	9	8	9	4
GSH	5	0	2	2	0	0	0
NKF	2	0	0	0	0	0	0
NKF	3	2	0	0	5	0	0
NKF	4	8	0	0	6	3	0
NKF	5	0	0	0	0	0	0
PSF	2	0	0	0	0	0	0
PSF	3	0	0	0	0	0	0
PSF	4	3	3	4	9	5	4
PSF	5	0	0	0	0	0	0
PSN	2	0	0	0	0	0	0
PSN	3	0	0	0	0	0	0
PSN	4	3	3	4	9	5	4
PSN	5	0	0	0	0	0	0
PSY	2	0	0	0	0	0	0
PSY	3	0	0	0	0	0	0
PSY	4	0	6	0	8	0	1
PSY	5	0	3	0	0	0	0
NKS	2	0	0	0	0	0	0
NKS	3	0	0	0	0	0	0
NKS	4	0	0	0	1	0	0
NKS	5	0	0	0	0	0	0
SKG	2	0	0	0	0	0	0
SKG	3	0	0	10	23	1	29
SKG	4	18	1	11	6	0	7
SKG	5	1	0	3	0	0	0
STL	2	0	0	0	0	0	0
STL	3	0	0	0	0	0	0
STL	4	15	0	0	0	0	0
STL	5	0	0	0	0	0	0
SNO	2	0	0	0	0	0	0
SNO	3	0	0	0	0	0	0
SNO	4	15	0	0	0	0	0
SNO	5	0	0	0	0	0	0
WCH	2	0	0	0	0	0	0
WCH	3	0	0	3	0	11	48
WCH	4	28	8	93	8	59	0
WCH	5	13	0	11	0	68	4
URB	2	0	0	0	0	0	0
URB	3	0	6	10	9	8	53
URB	4	68	19	198	13	109	158
URB	5	73	7	53	2	45	21
SPR	2	0	0	0	0	0	0
SPR	3	0	0	0	0	0	0
SPR	4	0	0	0	0	0	0
SPR	5	0	0	0	0	0	0
BON	2	0	0	0	0	0	0
BON	3	0	0	0	0	0	0
BON	4	0	0	0	0	0	0
BON	5	0	0	0	0	0	0
CWF	2	0	0	0	0	0	0
CWF	3	0	0	0	0	0	0
CWF	4	9	4	32	6	14	5
CWF	5	0	0	6	0	0	0
LRW	2	0	0	0	0	0	0
LRW	3	0	0	0	0	0	12
LRW	4	28	4	79	8	17	11
LRW	5	18	6	11	0	16	18
WSH	2	0	0	0	0	9	9
WSH	3	177	66	413	29	167	279
WSH	4	3	4	15	0	20	4
WSH	5	0	0	0	0	0	0
CWS	2	0	0	0	0	0	4
CWS	3	10	3	35	3	4	0
CWS	4	0	2	0	0	3	0
CWS	5	0	0	0	0	0	0
SUM	2	0	0	0	0	0	0
SUM	3	0	0	0	0	0	0
SUM	4	10	10	48	3	14	55
SUM	5	18	0	3	0	0	0
ORC	2	0	0	0	0	0	0
ORC	3	0	0	17	0	27	99
ORC	4	32	8	165	24	122	169
ORC	5	31	0	98	0	110	22
WCN	2	0	0	0	0	0	0
WCN	3	0	0	3	0	11	48
WCN	4	28	8	93	8	59	0
WCN	5	13	0	11	0	68	4
LYF	2	0	0	0	0	0	0
LYF	3	0	0	0	4	0	0
LYF	4	6	6	40	11	94	0
LYF	5	22	0	0	3	20	0
MCB	2	0	0	0	0	0	0
MCB	3	0	6	10	9	8	53
MCB	4	68	19	198	13	109	158
MCB	5	73	7	53	2	45	21
